,year,annual_return,max_draw,volatility,sharp,calmar,daily_win_ratio,win_lose_ratio,total_turnover,average_daily_turnover,average_daily_position,minor_average_return
asset5,2010,-0.6635452264153552,0.7585508965859479,300354.61850779306,-1.8602201876705319e-06,-0.8747537303057844,0.09248554913294797,0.5372954270902981,423.4923768424412,1.6414433210947335,-0.03801397673809885,-0.13992378671683195
asset10,2010,-0.6635452264153552,0.7585508965859479,300354.61850779306,-1.8602201876705319e-06,-0.8747537303057844,0.09248554913294797,0.5372954270902981,423.4923768424412,1.6414433210947335,-0.03801397673809885,-0.13992378671683195
asset20,2010,-0.6635452264153552,0.7585508965859479,300354.61850779306,-1.8602201876705319e-06,-0.8747537303057844,0.09248554913294797,0.5372954270902981,423.4923768424412,1.6414433210947335,-0.03801397673809885,-0.13992378671683195
asset5,2011,-0.1291800211361307,0.5193016607469699,72115.98073801538,-1.7876070585059455e-06,-0.24875718854878406,0.13168724279835392,0.9096623804304118,283.73235527349516,0.7903408224888444,0.11558884736677819,0.4458426969861444
asset10,2011,-0.1291800211361307,0.5193016607469699,72115.98073801538,-1.7876070585059455e-06,-0.24875718854878406,0.13168724279835392,0.9096623804304118,283.73235527349516,0.7903408224888444,0.11558884736677819,0.4458426969861444
asset20,2011,-0.1291800211361307,0.5193016607469699,72115.98073801538,-1.7876070585059455e-06,-0.24875718854878406,0.13168724279835392,0.9096623804304118,283.73235527349516,0.7903408224888444,0.11558884736677819,0.4458426969861444
asset5,2012,0.8156715270535044,0.32227752800807274,70598.69806323113,1.1506185734107627e-05,2.530959983759937,0.15289256198347106,1.753528597746231,367.2740476470811,1.02304748648212,0.320948366881807,1.049587902505369
asset10,2012,0.8156715270535044,0.32227752800807274,70598.69806323113,1.1506185734107627e-05,2.530959983759937,0.15289256198347106,1.753528597746231,367.2740476470811,1.02304748648212,0.320948366881807,1.049587902505369
asset20,2012,0.8156715270535044,0.32227752800807274,70598.69806323113,1.1506185734107627e-05,2.530959983759937,0.15289256198347106,1.753528597746231,367.2740476470811,1.02304748648212,0.320948366881807,1.049587902505369
asset5,2013,0.5826197496518075,0.37715586506082704,283808.65158461616,2.0232000720352135e-06,1.5447718135255397,0.12658227848101267,1.4321400329166936,1219.2619932028745,3.386838870007985,0.7147809766148195,2.200040148801458
asset10,2013,0.5826197496518075,0.37715586506082704,283808.65158461616,2.0232000720352135e-06,1.5447718135255397,0.12658227848101267,1.4321400329166936,1219.2619932028745,3.386838870007985,0.7147809766148195,2.200040148801458
