tradeDate,tradeDate,signal5,signal10,signal20,date,open,high,low,close,volume,settle,vwap,updatingTime,asset5,transaction5,pnl5,commission5,turnover5,position5,deposit5,asset10,transaction10,pnl10,commission10,turnover10,position10,deposit10,asset20,transaction20,pnl20,commission20,turnover20,position20,deposit20,return,time,cumulative_return
2010-04-30,2010-04-30,0,0,0,2010-04-30,3103.0,3119.6,3043.0,3107.0,184157.0,3089.8,3082.7012016920344,2018-04-16 13:37:11,998609.0585680566,-7155014.556090347,-87786.40005326679,164.56533479007797,7.6861258524979545,0.0,0.15,998609.0585680566,-7155014.556090347,-87786.40005326679,164.56533479007797,7.6861258524979545,0.0,0.15,998609.0585680566,-7155014.556090347,-87786.40005326679,164.56533479007797,7.6861258524979545,0.0,0.15,-0.012098057943330149,2010-04-30,899420.2898550725
2010-05-04,2010-05-04,0,0,0,2010-05-04,3079.8,3094.4,3060.8,3076.4,150123.0,3069.4,3077.284352164558,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,-0.007476635514018633,2010-05-04,892695.6521739131
2010-05-05,2010-05-05,0,0,0,2010-05-05,3046.4,3087.0,3031.0,3076.4,145542.0,3078.6,3057.380879746053,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,-0.010844860055847812,2010-05-05,883014.4927536232
2010-05-06,2010-05-06,0,0,0,2010-05-06,3078.6,3083.4,2953.6,2967.4,170221.0,2972.6,3025.6119714958786,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,0.01056985294117641,2010-05-06,892347.8260869565
2010-05-07,2010-05-07,0,0,0,2010-05-07,2928.0,2959.8,2862.2,2897.6,240106.0,2896.0,2909.7968538895325,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,-0.048918339504969766,2010-05-07,848695.6521739131
2010-05-10,2010-05-10,0,0,0,2010-05-10,2910.0,2931.0,2870.0,2918.0,201919.0,2912.0,2904.088563235753,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,-0.006147540983606557,2010-05-10,843478.2608695652
2010-05-11,2010-05-11,0,0,0,2010-05-11,2949.0,2957.8,2797.2,2801.6,224626.0,2816.4,2883.683878090693,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,0.013402061855670102,2010-05-11,854782.6086956521
2010-05-12,2010-05-12,1,1,1,2010-05-12,2809.0,2855.0,2782.0,2836.2,273131.0,2829.2,2821.7724000571156,2018-04-16 13:37:11,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,998609.0585680566,0.0,0.0,0.0,0.0,0.0,0.15,-0.04747371990505256,2010-05-12,814202.8985507246
2010-05-13,2010-05-13,0,0,0,2010-05-13,2847.8,2915.6,2823.0,2894.6,217422.0,2902.8,2862.085776048422,2018-04-16 13:37:11,998455.9385124095,6656372.923416063,-153.12005564710125,153.12005564710202,7.791245784366954,7.791245784366954,0.15,998455.9385124095,6656372.923416063,-153.12005564710125,153.12005564710202,7.791245784366954,7.791245784366954,0.15,998455.9385124095,6656372.923416063,-153.12005564710125,153.12005564710202,7.791245784366954,7.791245784366954,0.15,0.01381274474902107,2010-05-13,825449.275362319
2010-05-14,2010-05-14,0,0,0,2010-05-14,2880.0,2894.8,2850.4,2862.6,185453.0,2861.2,2873.4293120089724,2018-04-16 13:37:11,1073564.5451531669,-6731636.357693047,75108.60664075741,154.8276362269401,7.791245784366954,0.0,0.15,1073564.5451531669,-6731636.357693047,75108.60664075741,154.8276362269401,7.791245784366954,0.0,0.15,1073564.5451531669,-6731636.357693047,75108.60664075741,154.8276362269401,7.791245784366954,0.0,0.15,0.011306973804340127,2010-05-14,834782.6086956521
2010-05-17,2010-05-17,0,0,0,2010-05-17,2840.0,2840.2,2708.0,2719.0,117625.0,2727.6,2773.363621679065,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,-0.013888888888888888,2010-05-17,823188.4057971014
2010-05-18,2010-05-18,0,0,0,2010-05-18,2711.8,2848.0,2708.4,2810.4,261582.0,2818.2,2769.3278207216094,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,-0.04514084507042247,2010-05-18,786028.9855072465
2010-05-19,2010-05-19,0,0,0,2010-05-19,2779.2,2859.0,2734.2,2784.8,340531.0,2798.0,2798.508852351181,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,0.024854340290581766,2010-05-19,805565.2173913043
2010-05-20,2010-05-20,0,0,0,2010-05-20,2801.0,2844.8,2742.2,2763.2,293133.0,2761.2,2790.852286845903,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,0.007843983880253376,2010-05-20,811884.0579710145
2010-05-21,2010-05-21,0,0,0,2010-05-21,2702.0,2802.8,2677.0,2801.0,307325.0,2789.0,2744.292204669324,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,-0.035344519814352014,2010-05-21,783188.4057971014
2010-05-24,2010-05-24,0,0,0,2010-05-24,2814.0,2933.4,2808.0,2902.0,300512.0,2908.6,2894.103335640507,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,0.04145077720207254,2010-05-24,815652.1739130435
2010-05-25,2010-05-25,-1,-1,-1,2010-05-25,2880.0,2889.2,2811.0,2813.2,288927.0,2833.6,2854.078315976008,2018-04-16 13:37:11,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,1073564.5451531669,0.0,0.0,0.0,0.0,0.0,0.15,0.023454157782515993,2010-05-25,834782.6086956521
